k,mean,std
1,0.008799457550048828,0.0022714600904186395
20,0.060109519958496095,0.015712337706001236
200,0.20170950889587402,0.022749538595149978
1000,1.0287991523742677,0.05117348627559163
2000,1.8022011756896972,0.11140784219178905
